Cue,Answer,Shuffle,Stimuli Notes
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
