Cue,Answer,Shuffle,Stimuli Notes
What were the results of Corteen and Wood (1972)?,showed that participants responded to stimuli in the unattended ear if it had been paired with shock earlier in the experiment,ON,bl
What were the main findings from Brooks (1968)?,"found evidence that there are two separate subsystems within working memory, one of which handles verbal information, and the other which handles spatial information",ON,bl
What did Ebbinghaus investigate?,investigated the rate of forgetting following the relearning of non-sense syllables,ON,bl
What did Bartlett investigate and how was it different than Ebbinghaus?,"Bartlett also investigated memory, but Bartlett used more authentic learning materials (e.g., texts) compared to Ebbinghaus, who only investigated memory for non-sense syllables",ON,bl
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
