Cue,Answer,Shuffle,Stimuli Notes
A chaining procedure in which training begins with the first link in the chain and adds subsequent links in order. ,Forward chaining,ON,bl
"The idea that the partial reinforcement effect occurs because nonreinforcement is frustrating and during intermittent reinforcement responding while frustrated is reinforced, so frustration becomes a signal for responding.",Frustration hypothesis,ON,bl
Any general behavioral tendency that is strongly influenced by genes. Examples include introversion and general anxiety.,General behavior trait,ON,bl
An experimental procedure in which an event normally performed by a model appears to occur without a model. The condition is used in studies of asocial observational learning.,Ghost condition,ON,bl
A decrease in the intensity or probability of a reflex response resulting from repeated exposure to a stimulus that evokes that response.,Habituation,ON,bl
"A variation of Pavlovian conditioning in which a neutral stimulus is paired, not with a US, but with a well-established CS.",Higher-order conditioning,ON,bl
"In an experiment, the variable that the researcher manipulates. ",Independent variable,ON,bl
The time between the appearance of the CS and the US.,Interstimulus interval,ON,bl
Any of several reinforcement schedules in which a behavior is sometimes reinforced. Also called partial reinforcement.,Intermittent schedule,ON,bl
The time that passes between an event and a behavior.,Latency,ON,bl
"In Pavlovian conditioning, the failure of a CR to appear as a result of prior presentation of the CS in the absence of the US.",Latent inhibition,ON,bl
"The statement that behavior is a function of its consequences. So called because the strength of a behavior depends on its past effects on the environment. Implicit in the law is the notion that operant learning is an active process, since it is usually the behavior of the organism that, directly or indirectly, produces the effect.",Law of effect,ON,bl
The tendency to give up on a problem as a result of previous exposure to insoluble problems. In experiments the problem typically involves escape learning.,Learned helplessness,ON,bl
A change in behavior due to experience.,Learning,ON,bl
"The principle that, given the opportunity to respond on two or more reinforcement schedules, the rate of responding on each schedule will match the reinforcement available on each schedule.",Matching law,ON,bl
A series of related acts found in all or nearly all members of a species. Also called fixed action pattern. Formerly called instinct.,Modal action pattern,ON,bl
Any abrupt change in a gene.,Mutation,ON,bl
"A punishment procedure or experience in which a behavior is followed by the removal of, or a decrease in the intensity of, a stimulus.",Negative punishment,ON,bl
"A reinforcement procedure or experience in which a behavior is followed by the removal of, or a decrease in the intensity of, a stimulus.",Negative reinforcement,ON,bl
Learning by observing events and their consequences.,Observational learning,ON,bl
The view that avoidance and punishment involve only one procedure—operant learning.,One-process theory,ON,bl
"Any procedure or experience in which a behavior becomes stronger or weaker (e.g., more or less likely to occur), depending on its consequences. ",Operant learning,ON,bl
Failure of a stimulus that is part of a compound stimulus to become a CS.,Overshadowing,ON,bl
The tendency of a behavior to be more resistant to extinction following intermittent reinforcement than following continuous reinforcement.,Partial reinforcement effect,ON,bl
"The procedure of pairing a neutral stimulus (one that does not elicit a reflex response) with a US, a stimulus that does elicit a reflex response. Also called classical or respondent conditioning.",Pavlovian conditioning,ON,bl
"A punishment procedure or experience in which a behavior is followed by the presentation of, or an increase in the intensity of, a stimulus.",Positive punishment,ON,bl
"A reinforcement procedure or experience in which a behavior is followed by the presentation of, or an increase in the intensity of, a stimulus.",Positive reinforcement,ON,bl
The observation that high-probability behavior reinforces low-probability behavior.,Premack principle,ON,bl
The tendency of a neutral stimulus to elicit a CR when presented after a US has elicited a reflex response.,Pseudoconditioning,ON,bl
"A decrease in the strength of a behavior due to its consequences. As a procedure, it means providing consequences for a behavior that decrease the strength of that behavior.",Punishment,ON,bl
"An increase in the strength of a behavior due to its consequences. As a procedure, it means providing consequences for a behavior that increase or maintain the strength of that behavior.",Reinforcement,ON,bl
Theory of reinforcement that considers reinforcers to be behaviors rather than stimuli and that attributes a reinforcer’s effectiveness to its probability relative to other behaviors.,Relative value theory,ON,bl
The theory of reinforcement that says a behavior is reinforcing to the extent that the organism has been deprived (relative to its baseline frequency) of performing that behavior. Also called equilibrium theory or response-restriction theory.,Response-deprivation theory,ON,bl
The idea that the partial reinforcement effect is due to differences in the definition of a behavior during intermittent and continuous reinforcement.,Response unit hypothesis,ON,bl
The reappearance during extinction of a previously reinforced behavior.,Resurgence,ON,bl
A period during which learning or practice of a behavior does not occur.,Retention interval,ON,bl
The loss of effectiveness of primary reinforcers due to their repeated use.,Satiation,ON,bl
A rule describing the delivery of reinforcers for a behavior.,Schedule of reinforcement,ON,bl
Any reinforcer that has acquired its reinforcing properties through its association with other reinforcers.,Secondary reinforcer,ON,bl
"A procedure in which two neutral stimuli are paired, after which one is repeatedly paired with a US. If the other stimulus is then presented alone, it may elicit a CR even though it was never paired with the US.",Sensory preconditioning,ON,bl
The idea that the partial reinforcement effect occurs because the sequence of reinforced and nonreinforced behaviors during intermittent reinforcement becomes a signal for responding during extinction.,Sequential hypothesis,ON,bl
The reinforcement of successive approximations of a desired behavior.,Shaping,ON,bl
An escape-avoidance training procedure in which no stimulus regularly precedes the aversive stimulus. Also called unsignaled avoidance.,Sidman avoidance procedure,ON,bl
"A Pavlovian conditioning procedure in which the CS and US coincide exactly. That is, the CS and US begin and end at the same time.",Simultaneous conditioning,ON,bl
The sudden reappearance of a behavior following its extinction.,Spontaneous recovery,ON,bl
"Any event that affects, or is capable of affecting, behavior.",Stimulus,ON,bl
"In Pavlovian conditioning, the theory that the CS substitutes for the US. It assumes that the CR is essentially the same as the UR.",Stimulus substitution theory,ON,bl
Any behavior that occurs repeatedly even though it does not produce the reinforcers that maintain it.,Superstitious behavior,ON,bl
A Pavlovian conditioning procedure in which the CS begins and ends before the US is presented.,Trace conditioning,ON,bl
The view that avoidance and punishment involve two procedures—Pavlovian and operant learning.,Two-process theory,ON,bl
"A reflex that is largely innate (i.e., not the product of experience). ",Unconditional reflex,ON,bl
A stimulus that elicits an unconditional response.,Unconditional stimulus,ON,bl
"A reinforcement schedule in which a behavior is reinforced the first time it occurs following an interval since the last reinforcement, with the interval varying around a specified average.",Variable interval schedule,ON,bl
"A reinforcement schedule in which, on average, every nth performance of a behavior is reinforced.",Variable ratio schedule,ON,bl
A decrease in the strength of an observed behavior following punishment of that behavior in a model.,Vicarious punishment,ON,bl
An increase in the strength of an observed behavior following reinforcement of that behavior in a model.,Vicarious reinforcement,ON,bl
A form of exposure therapy that relies on technology that creates simulated scenes that arouse anxiety. Abbreviated VRET.,Virtual reality exposure therapy,ON,bl
"A research design in which the independent variable is made to vary at different times for the same subject. Thus, each subject serves as both an experimental and control subject.",Within-subject experiment,ON,bl
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
