Cue,Answer,Shuffle,Stimuli Notes
What is “stimulus control”?,"Any stimulus that causes a particular response that is the result of discrimination training. For instance, we have been trained to stop at the red light, slow down at the yellow light, and continue driving during the green light.",ON,bl
What is Spence (1937) and Kohler (1939) and concept learning in animals?,"Spence (1937) taught chimps to peck at the larger of two discs, and Kohler (1939) had chicks peck at the lighter of two gray squares. This demonstrates that animals can learn basic concepts.",ON,bl
What is Herrnstein and Loveland (1964) and the humans in photographs experiment?,"Herrnstein and Loveland (1964) taught pigeons to peck at photographs that only had human beings in them. Pigeons were able to grasp this complex concept, and even corrected the experimenters occasionally!",ON,bl
What is Penfield (1952) and what happened during electrical stimulation of the temporal lobes?,"Penfield (1952) demonstrated that some patients experienced vivid recall of ""long-forgotten memories"" when he stimulated the temporal lobes with a small amount of electrical current.",ON,bl
What is “free recall”?,"A type of recall that provides no cues (e.g., recall all the US Presidents).",ON,bl
What is “cued recall”?,"A type of recall that provides some type of cue (e.g., casa - ???)",ON,bl
What is “recognition”?,"A type of test wherein the correct answer is presented amongst incorrect answers (i.e., ""lures"") and the participant must recognize which answer is correct.",ON,bl
What is the Standing (1973) experiment and what level of accuracy was reached?,"Standing (1973) presented participants with 10,000 pictures and observed memory performance after a 2-day delay via a forced-choice recognition test. Participants were able to recognize approximately 83% of the pictures!",ON,bl
What is Ebbinghaus (1885) and the savings method?,"Ebbinghaus (1885) memorized lists of nonsense syllables and then measured how long it would take him to relearn the lists after various delays. If he relearned the list at a faster rate compared to his prior rate, he had only forgotten some of the information over the delay. If it took him just as many trials to relearn the list as it did to originally learn the list, then he considered the list completely forgotten as there was no net savings.",ON,bl
What is the “extinction method”?,"The ""extinction method"" refers to training an animal on a specific task (e.g., a pigeon to peck at a disc). After the task is well-learned, the experimenter starts extinguishing the behavior (e.g., pecking at the disc no longer produces a food reinforcer). The key is that the extinction phase starts either immediately or after a delay (e.g., 1 month). The pecking rates can then be compared between the two delays (immediately versus after a delay) to gauge forgetting. If the pecking rates are about the same, then little forgetting has occurred. If the pigeon pecks less frequently after the delay, forgetting is assumed to have occurred.",ON,bl
What is Gagné (1941) and why is the assumption behind it wrong?,"Gagné (1941) had rats learn a maze, and then they relearned the maze after various delays. The longer the delay, the more trials it took the rat to relearn the maze. The assumption is that the memory of the maze had ""faded"" over time, but time cannot explain anything!",ON,bl
"What is “permastore” and Bahrick et al., (1975)?","Some information, according to Bahrick et al., (1975), enters ""permanent storage"" and is never forgotten. One piece of evidence for this is the fact that people remember their high school classmates for up to 50 years later with fairly high accuracy!",ON,bl
What is De Groot (1966) and how was memory for chess positions?,"De Groot (1966) presented novices and masters with chess positions and tested their memory. The masters remembered the positions much better, and this demonstrates that the masters had more prior knowledge that aided their recall of the positions.",ON,bl
What is proactive versus retroactive interference?,Proactive interference refers to any situation in which old information interferes with your ability to recall newer information. Retroactive interference refers to newer information interfering with your ability to recall older information.,ON,bl
What is Loftus (1974) and the “misinformation effect”?,"Loftus (1974) had participants watch a video of a car crash, and then changed the wording involved in a series of post-questions. Some participants got the phrase ""smashed into each other"" and others got the phrase ""contacted each other"". Those receiving the phrasing ""smashed into each other"" claimed there was broken glass on the scene and overestimated how fast the cars were traveling during the accident.",ON,bl
What are the main results from Tyron (1940)?,"Tyron (1940) demonstrated that heredity plays a role in learning. He bred the smartest rats with the smartest rats, and the worst-performing rats with the worst-performing rats. He did this for 18 generations, and over time, there were remarkable average differences in learning ability between the two types of rats.",ON,bl
What is a “critical period”?,"A ""critical period"" is any important developmental period in which particular things are critical to learn for an animal (e.g., language or social skills). If these things are not learned within the critical period, they may never be learned at all.",ON,bl
What is “instinctive drift”?,"""Instinctive drift"" is the idea that certain innate tendencies can interfere with learning. In other words, certain innate action patterns are very difficult to override, even with lots of training.",ON,bl
What is the Garcia and Koelling (1966) experiment?,"Garcia and Koelling (1966) presented rats with bright, noisy, and tasty water that was ultimately followed by either illness (X-radiation) or shock. Later, Garcia and Koelling (1966) presented rats with bright-noisy water or tasty water, and the results indicated that rats took fewer sips of the bright-noisy water when it had been paired with shock. Conversely, the rats took fewer sips of the tasty water when it had been paired with illness.",ON,bl
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
bl,bl,YES,bl
